"Fact","Fact Note","New York city, New York","Value Note for New York city, New York","Des Moines city, Iowa","Value Note for Des Moines city, Iowa"
"Population estimates, July 1, 2019,  (V2019)","","8,336,817","","214,237",""
"Population estimates base, April 1, 2010,  (V2019)","","8,175,031","","204,220",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","2.0%","","4.9%",""
"Population, Census, April 1, 2010","","8,175,133","","203,433",""
"Persons under 5 years, percent","","6.5%","","6.9%",""
"Persons under 18 years, percent","","20.9%","","24.5%",""
"Persons 65 years and over, percent","","14.1%","","11.7%",""
"Female persons, percent","","52.3%","","50.8%",""
"White alone, percent","","42.7%","","75.4%",""
"Black or African American alone, percent","(a)","24.3%","","11.3%",""
"American Indian and Alaska Native alone, percent","(a)","0.4%","","0.4%",""
"Asian alone, percent","(a)","13.9%","","6.5%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.1%","","0.1%",""
"Two or More Races, percent","","3.5%","","4.0%",""
"Hispanic or Latino, percent","(b)","29.1%","","13.3%",""
"White alone, not Hispanic or Latino, percent","","32.1%","","65.4%",""
"Veterans, 2014-2018","","156,514","","10,147",""
"Foreign born persons, percent, 2014-2018","","37.0%","","12.6%",""
"Housing units,  July 1, 2019,  (V2019)","","X","","X",""
"Owner-occupied housing unit rate, 2014-2018","","32.7%","","59.7%",""
"Median value of owner-occupied housing units, 2014-2018","","$570,500","","$127,200",""
"Median selected monthly owner costs -with a mortgage, 2014-2018","","$2,665","","$1,204",""
"Median selected monthly owner costs -without a mortgage, 2014-2018","","$871","","$498",""
"Median gross rent, 2014-2018","","$1,396","","$822",""
"Building permits, 2019","","X","","X",""
"Households, 2014-2018","","3,154,103","","84,140",""
"Persons per household, 2014-2018","","2.62","","2.50",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","","90.0%","","79.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","","48.7%","","18.3%",""
"Households with a computer, percent, 2014-2018","","87.5%","","89.0%",""
"Households with a broadband Internet subscription, percent, 2014-2018","","79.4%","","77.5%",""
"High school graduate or higher, percent of persons age 25 years+, 2014-2018","","81.6%","","86.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","","37.4%","","25.8%",""
"With a disability, under age 65 years, percent, 2014-2018","","6.8%","","10.8%",""
"Persons  without health insurance, under age 65 years, percent","","9.6%","","8.2%",""
"In civilian labor force, total, percent of population age 16 years+, 2014-2018","","63.5%","","70.2%",""
"In civilian labor force, female, percent of population age 16 years+, 2014-2018","","58.5%","","65.9%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","27,452,861","","464,153",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","76,165,547","","2,758,297",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","14,816,322","","4,837,810",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","173,797,846","","3,586,516",""
"Total retail sales, 2012 ($1,000)","(c)","92,265,000","","2,190,058",""
"Total retail sales per capita, 2012","(c)","$11,067","","$10,596",""
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018","","41.2","","19.0",""
"Median household income (in 2018 dollars), 2014-2018","","$60,762","","$52,251",""
"Per capita income in past 12 months (in 2018 dollars), 2014-2018","","$37,693","","$27,325",""
"Persons in poverty, percent","","18.9%","","17.2%",""
"Total employer establishments, 2018","","X","","X",""
"Total employment, 2018","","X","","X",""
"Total annual payroll, 2018 ($1,000)","","X","","X",""
"Total employment, percent change, 2017-2018","","X","","X",""
"Total nonemployer establishments, 2018","","X","","X",""
"All firms, 2012","","1,050,911","","16,543",""
"Men-owned firms, 2012","","571,852","","8,529",""
"Women-owned firms, 2012","","413,899","","5,681",""
"Minority-owned firms, 2012","","539,447","","3,000",""
"Nonminority-owned firms, 2012","","483,136","","12,427",""
"Veteran-owned firms, 2012","","57,216","","1,581",""
"Nonveteran-owned firms, 2012","","966,167","","13,561",""
"Population per square mile, 2010","","27,012.5","","2,515.6",""
"Land area in square miles, 2010","","302.64","","80.87",""
"FIPS Code","","""3651000""","","""1921000""",""
"","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","",""
"","","","","",""
"Value Notes","","","","",""
"None","","","","",""
"","","","","",""
"Fact Notes","","","","",""
"(a)","Includes persons reporting only one race","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","",""
"","","","","",""
"Value Flags","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","",""
"F","Fewer than 25 firms","","","",""
"FN","Footnote on this item in place of data","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","",""
"NA","Not available","","","",""
"S","Suppressed; does not meet publication standards","","","",""
"X","Not applicable","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","",""
